order_id,customer_id,order_date,status,region_code,has_missing_customer
1,302,2025-12-05 00:00:00,DELIVERED,CENTRAL,False
2,267,2025-07-18 11:37:31,RETURNED,CENTRAL,False
3,28,2025-08-11 06:21:18,DELIVERED,SOUTH,False
4,631,2026-10-13 06:02:44,CANCELLED,SOUTH,False
5,675,2025-09-18 21:23:41,DELIVERED,CENTRAL,False
6,,2026-01-04 21:29:39,DELIVERED,WEST,True
7,771,2026-01-18 10:19:57,DELIVERED,SOUTH,False
8,592,2026-05-23 23:16:13,SHIPPED,SOUTH,False
9,476,2026-04-13 20:44:37,DELIVERED,WEST,False
10,700,2024-10-05 14:15:58,PLACED,WEST,False
11,392,2025-09-09 01:16:44,CANCELLED,EAST,False
12,980,2026-02-20 08:30:28,DELIVERED,NORTH,False
13,262,2026-03-04 13:10:49,DELIVERED,CENTRAL,False
14,789,2025-01-30 06:52:42,DELIVERED,NORTH,False
15,852,2024-12-17 19:49:37,DELIVERED,EAST,False
16,258,2026-01-15 00:00:00,DELIVERED,SOUTH,False
17,974,2025-12-10 09:12:56,DELIVERED,WEST,False
18,673,2024-07-22 11:04:59,SHIPPED,SOUTH,False
19,260,2024-11-17 18:48:38,RETURNED,WEST,False
20,709,2025-07-11 23:10:54,PLACED,NORTH,False
21,392,2024-09-26 12:48:55,SHIPPED,NORTH,False
22,504,2026-02-02 23:25:39,SHIPPED,CENTRAL,False
23,788,2025-05-18 23:53:20,DELIVERED,NORTH,False
24,75,2025-05-18 06:24:18,DELIVERED,NORTH,False
25,,2025-02-13 09:34:06,DELIVERED,NORTH,True
26,528,2025-05-28 13:43:37,DELIVERED,NORTH,False
27,554,2024-11-23 15:06:30,SHIPPED,CENTRAL,False
28,958,2024-11-30 22:24:05,RETURNED,NORTH,False
29,375,2024-10-23 21:34:14,DELIVERED,SOUTH,False
30,181,2025-07-08 03:06:22,DELIVERED,NORTH,False
31,646,2025-07-19 22:06:31,SHIPPED,NORTH,False
32,,2024-10-06 07:10:10,DELIVERED,EAST,True
33,512,2025-09-05 00:30:45,PLACED,NORTH,False
34,346,2024-12-20 00:00:00,DELIVERED,WEST,False
35,963,2024-12-11 13:19:26,CANCELLED,NORTH,False
36,754,2026-01-16 13:41:17,PLACED,SOUTH,False
37,15,2026-02-28 00:00:00,DELIVERED,SOUTH,False
38,856,2024-12-04 22:33:30,DELIVERED,SOUTH,False
39,65,2026-07-05 19:04:57,DELIVERED,EAST,False
40,124,2026-04-15 11:16:15,DELIVERED,NORTH,False
41,608,2025-06-04 00:00:00,SHIPPED,EAST,False
42,567,2026-05-15 16:18:07,DELIVERED,CENTRAL,False
43,5092,2024-10-05 00:00:00,CANCELLED,CENTRAL,False
44,909,2025-10-25 16:10:28,SHIPPED,SOUTH,False
45,656,2024-09-14 01:42:45,DELIVERED,CENTRAL,False
46,185,2024-09-18 09:06:02,DELIVERED,WEST,False
47,5,2024-10-16 20:22:59,DELIVERED,CENTRAL,False
48,520,2024-09-02 17:08:37,SHIPPED,SOUTH,False
49,702,2024-08-08 10:37:37,CANCELLED,NORTH,False
50,661,2025-01-05 06:34:41,DELIVERED,WEST,False
51,45,2025-07-07 00:00:00,PLACED,CENTRAL,False
52,119,2026-01-24 07:50:07,DELIVERED,EAST,False
53,236,2024-07-24 17:11:25,DELIVERED,WEST,False
54,913,2025-01-28 03:19:31,SHIPPED,CENTRAL,False
55,466,2026-06-15 12:52:27,DELIVERED,EAST,False
56,208,2025-11-15 00:00:00,SHIPPED,WEST,False
57,470,2026-02-14 06:31:36,SHIPPED,CENTRAL,False
58,928,2024-08-17 08:23:00,DELIVERED,WEST,False
59,883,2024-12-18 22:52:28,DELIVERED,SOUTH,False
60,254,2026-02-16 03:44:49,SHIPPED,CENTRAL,False
61,,2025-04-18 04:31:05,DELIVERED,NORTH,True
62,436,2025-08-01 16:12:55,DELIVERED,SOUTH,False
63,86,2026-06-20 00:00:00,SHIPPED,EAST,False
64,245,2025-01-27 23:01:52,DELIVERED,CENTRAL,False
65,766,2025-07-07 17:32:58,DELIVERED,SOUTH,False
66,5322,2026-01-21 16:20:13,PLACED,EAST,False
67,,2025-10-02 06:04:38,DELIVERED,SOUTH,True
68,807,2025-03-20 14:45:43,DELIVERED,EAST,False
69,910,2025-11-27 20:34:03,DELIVERED,CENTRAL,False
70,722,2025-03-25 09:11:41,DELIVERED,NORTH,False
71,665,2025-03-05 00:52:40,DELIVERED,SOUTH,False
72,329,2025-01-08 19:01:32,PLACED,EAST,False
73,464,2025-04-07 15:05:48,DELIVERED,CENTRAL,False
74,922,2025-05-04 20:20:02,DELIVERED,NORTH,False
75,193,2025-10-06 22:56:12,DELIVERED,NORTH,False
76,112,2026-06-30 05:06:20,DELIVERED,NORTH,False
77,301,2026-04-16 12:54:00,DELIVERED,NORTH,False
78,299,2026-02-26 00:00:00,DELIVERED,EAST,False
79,422,2024-07-20 00:36:15,DELIVERED,CENTRAL,False
80,863,2026-04-14 16:26:29,DELIVERED,EAST,False
81,233,2025-05-07 06:50:12,DELIVERED,WEST,False
82,980,2026-03-20 00:43:41,RETURNED,SOUTH,False
83,166,2026-05-24 00:00:00,DELIVERED,SOUTH,False
84,211,2024-08-05 00:00:00,DELIVERED,CENTRAL,False
85,999,2024-10-15 13:03:13,DELIVERED,SOUTH,False
86,971,2027-05-03 06:02:44,DELIVERED,WEST,False
87,918,2026-06-12 12:05:13,SHIPPED,CENTRAL,False
88,747,2026-01-17 16:24:23,CANCELLED,SOUTH,False
89,695,2025-01-15 07:46:05,DELIVERED,NORTH,False
90,335,2025-06-12 21:20:10,CANCELLED,EAST,False
91,,2025-12-01 00:23:23,SHIPPED,CENTRAL,True
92,404,2026-04-14 04:22:19,CANCELLED,EAST,False
93,408,2025-07-28 21:45:02,DELIVERED,EAST,False
94,316,2025-11-12 01:19:59,DELIVERED,WEST,False
95,823,2024-07-20 01:23:00,DELIVERED,WEST,False
96,143,2025-10-26 20:55:10,RETURNED,CENTRAL,False
97,344,2026-06-05 20:07:31,DELIVERED,EAST,False
98,425,2025-03-10 02:53:35,SHIPPED,WEST,False
99,297,2025-10-23 00:00:00,DELIVERED,CENTRAL,False
100,758,2026-12-29 06:02:44,DELIVERED,WEST,False
101,128,2026-06-26 01:02:41,DELIVERED,SOUTH,False
102,30,2026-01-06 06:26:47,DELIVERED,CENTRAL,False
103,493,2025-11-24 23:39:31,DELIVERED,NORTH,False
104,383,2025-01-04 09:09:49,PLACED,EAST,False
105,473,2025-07-06 17:10:50,DELIVERED,EAST,False
106,50,2026-01-08 17:54:23,DELIVERED,SOUTH,False
107,784,2026-02-17 17:51:28,DELIVERED,EAST,False
108,278,2025-03-29 05:20:57,DELIVERED,NORTH,False
109,141,2026-06-03 18:06:31,CANCELLED,NORTH,False
110,224,2026-06-05 12:03:32,DELIVERED,CENTRAL,False
111,867,2025-06-30 13:39:59,DELIVERED,NORTH,False
112,120,2025-11-10 16:12:32,DELIVERED,WEST,False
113,912,2025-12-10 17:49:08,DELIVERED,NORTH,False
114,228,2024-09-29 03:40:01,DELIVERED,NORTH,False
115,436,2025-04-24 21:40:50,DELIVERED,NORTH,False
116,202,2025-10-04 07:12:19,SHIPPED,EAST,False
117,45,2025-12-19 19:57:01,CANCELLED,SOUTH,False
118,602,2026-04-14 04:28:16,DELIVERED,EAST,False
119,972,2026-04-18 20:14:22,DELIVERED,CENTRAL,False
120,584,2026-02-11 02:20:54,DELIVERED,EAST,False
121,176,2025-12-23 06:45:48,DELIVERED,CENTRAL,False
122,872,2024-08-09 23:04:36,RETURNED,SOUTH,False
123,855,2025-07-16 11:54:31,SHIPPED,EAST,False
124,127,2024-09-19 09:20:37,DELIVERED,NORTH,False
125,85,2026-03-17 18:57:29,DELIVERED,WEST,False
126,232,2026-07-15 13:15:43,PLACED,WEST,False
127,962,2026-07-08 21:59:09,SHIPPED,WEST,False
128,536,2025-06-23 18:17:32,DELIVERED,NORTH,False
129,760,2026-05-03 13:55:49,DELIVERED,CENTRAL,False
130,865,2026-06-15 10:01:30,DELIVERED,CENTRAL,False
131,608,2025-07-04 23:40:22,DELIVERED,CENTRAL,False
132,973,2025-08-16 17:15:20,SHIPPED,EAST,False
133,502,2025-01-11 12:55:33,PLACED,NORTH,False
134,511,2024-11-19 06:28:31,SHIPPED,CENTRAL,False
135,639,2026-06-07 00:00:00,DELIVERED,SOUTH,False
136,301,2025-12-11 00:59:39,DELIVERED,CENTRAL,False
137,19,2024-10-02 00:00:00,DELIVERED,EAST,False
138,874,2026-07-13 09:39:43,DELIVERED,EAST,False
139,906,2024-08-08 02:49:40,DELIVERED,NORTH,False
140,583,2026-05-27 09:22:06,DELIVERED,SOUTH,False
141,519,2025-03-13 06:34:50,DELIVERED,EAST,False
142,329,2025-04-23 21:41:05,DELIVERED,CENTRAL,False
143,28,2025-02-07 13:37:29,RETURNED,WEST,False
144,360,2025-12-25 02:45:22,SHIPPED,NORTH,False
145,890,2027-01-30 06:02:44,DELIVERED,WEST,False
146,582,2026-06-12 19:50:05,PLACED,EAST,False
147,387,2025-11-19 15:11:06,DELIVERED,SOUTH,False
148,345,2025-11-15 21:20:16,DELIVERED,WEST,False
149,207,2026-05-22 19:29:36,DELIVERED,EAST,False
150,,2025-10-23 13:35:17,DELIVERED,NORTH,True
151,735,2025-07-12 03:18:38,DELIVERED,WEST,False
152,438,2026-02-18 21:33:32,DELIVERED,WEST,False
153,680,2025-03-17 21:02:06,DELIVERED,CENTRAL,False
154,185,2024-12-28 06:11:19,DELIVERED,WEST,False
155,275,2025-09-11 12:11:30,DELIVERED,CENTRAL,False
156,745,2026-05-23 14:58:35,SHIPPED,EAST,False
157,865,2024-09-03 00:14:12,DELIVERED,WEST,False
158,274,2025-03-25 11:47:42,DELIVERED,NORTH,False
159,154,2026-05-13 15:08:19,DELIVERED,WEST,False
160,433,2026-01-11 00:00:00,DELIVERED,EAST,False
161,675,2025-12-29 09:22:11,DELIVERED,NORTH,False
162,881,2025-11-07 10:43:51,RETURNED,EAST,False
163,688,2026-02-11 06:12:15,SHIPPED,NORTH,False
164,585,2026-06-23 14:19:17,CANCELLED,CENTRAL,False
165,258,2025-06-01 23:08:16,DELIVERED,CENTRAL,False
166,755,2025-01-04 05:48:41,SHIPPED,SOUTH,False
167,220,2025-01-23 00:50:10,DELIVERED,EAST,False
168,717,2025-02-15 07:47:09,RETURNED,SOUTH,False
169,372,2024-10-07 03:13:49,CANCELLED,NORTH,False
170,862,2025-03-23 07:24:44,DELIVERED,EAST,False
171,566,2025-09-23 08:42:00,DELIVERED,CENTRAL,False
172,888,2027-03-06 06:02:44,CANCELLED,EAST,False
173,93,2026-06-05 21:21:07,SHIPPED,WEST,False
174,647,2025-09-09 05:15:50,DELIVERED,NORTH,False
175,843,2024-10-18 20:20:50,DELIVERED,WEST,False
176,898,2025-03-03 16:25:05,PLACED,WEST,False
177,617,2025-04-21 11:55:25,DELIVERED,SOUTH,False
178,646,2026-11-27 06:02:44,DELIVERED,NORTH,False
179,114,2025-03-01 19:18:10,DELIVERED,CENTRAL,False
180,703,2025-09-21 19:10:13,SHIPPED,SOUTH,False
181,704,2024-12-03 11:01:09,DELIVERED,WEST,False
182,898,2025-04-27 07:18:23,PLACED,CENTRAL,False
183,663,2025-05-23 06:36:15,DELIVERED,SOUTH,False
184,51,2026-02-01 04:15:07,DELIVERED,CENTRAL,False
185,,2026-02-20 08:13:50,DELIVERED,WEST,True
186,122,2026-05-30 23:39:11,DELIVERED,WEST,False
187,392,2024-10-18 00:53:08,DELIVERED,SOUTH,False
188,429,2025-11-14 14:56:43,DELIVERED,WEST,False
189,930,2025-09-22 07:43:35,DELIVERED,EAST,False
190,998,2024-10-03 15:08:19,DELIVERED,EAST,False
191,75,2024-07-24 00:00:00,CANCELLED,CENTRAL,False
192,962,2026-04-01 09:43:38,PLACED,CENTRAL,False
193,635,2025-03-05 13:11:32,DELIVERED,NORTH,False
194,595,2026-03-05 22:50:23,DELIVERED,NORTH,False
195,325,2025-02-19 14:17:36,RETURNED,WEST,False
196,893,2024-12-24 16:14:58,CANCELLED,EAST,False
197,628,2025-11-26 11:37:28,SHIPPED,WEST,False
198,783,2024-11-02 11:06:58,DELIVERED,SOUTH,False
199,153,2025-02-09 18:49:57,DELIVERED,NORTH,False
200,917,2026-01-14 00:00:00,DELIVERED,WEST,False
201,116,2026-03-30 01:01:14,DELIVERED,SOUTH,False
202,855,2026-03-14 10:15:49,DELIVERED,CENTRAL,False
203,,2024-08-11 20:37:32,DELIVERED,WEST,True
204,694,2025-03-08 15:03:18,SHIPPED,EAST,False
205,605,2025-07-19 17:58:31,DELIVERED,WEST,False
206,465,2025-12-02 18:43:48,PLACED,CENTRAL,False
207,974,2025-02-02 12:33:51,DELIVERED,SOUTH,False
208,217,2026-03-28 23:27:22,DELIVERED,CENTRAL,False
209,975,2025-09-10 01:07:34,DELIVERED,WEST,False
210,,2025-10-21 18:15:57,DELIVERED,SOUTH,True
211,124,2024-12-22 08:09:47,CANCELLED,CENTRAL,False
212,135,2025-02-15 16:52:40,DELIVERED,WEST,False
213,488,2026-06-23 18:39:51,DELIVERED,SOUTH,False
214,445,2024-08-29 17:35:58,DELIVERED,SOUTH,False
215,954,2026-03-01 14:44:29,DELIVERED,WEST,False
216,308,2024-11-06 07:37:40,DELIVERED,EAST,False
217,,2025-12-23 00:00:00,DELIVERED,NORTH,True
218,476,2026-03-29 06:28:50,SHIPPED,CENTRAL,False
219,17,2026-05-31 08:33:17,DELIVERED,NORTH,False
220,427,2024-12-29 04:22:30,DELIVERED,CENTRAL,False
221,828,2026-01-06 04:54:47,SHIPPED,CENTRAL,False
222,5060,2026-05-23 02:53:09,PLACED,WEST,False
223,472,2026-02-04 15:39:51,DELIVERED,CENTRAL,False
224,833,2026-04-04 15:09:36,DELIVERED,EAST,False
225,90,2025-12-31 00:00:00,RETURNED,NORTH,False
226,215,2025-02-21 06:14:03,DELIVERED,CENTRAL,False
227,196,2026-03-05 02:55:39,SHIPPED,SOUTH,False
228,757,2026-05-15 05:52:12,DELIVERED,SOUTH,False
229,5323,2024-11-11 01:25:29,DELIVERED,WEST,False
230,426,2024-08-02 12:36:25,DELIVERED,WEST,False
231,410,2025-04-30 07:53:16,DELIVERED,WEST,False
232,238,2025-05-22 08:29:47,PLACED,WEST,False
233,911,2025-06-28 14:19:34,DELIVERED,NORTH,False
234,166,2025-03-29 04:52:46,DELIVERED,EAST,False
235,944,2025-04-29 15:42:31,DELIVERED,WEST,False
236,983,2024-09-08 05:41:44,DELIVERED,SOUTH,False
237,637,2025-12-30 15:38:18,SHIPPED,SOUTH,False
238,621,2025-02-09 00:47:49,DELIVERED,CENTRAL,False
239,49,2026-05-23 01:14:12,SHIPPED,CENTRAL,False
240,33,2025-12-11 22:01:34,DELIVERED,WEST,False
241,265,2025-08-22 01:58:27,DELIVERED,SOUTH,False
242,874,2024-09-26 20:41:07,CANCELLED,WEST,False
243,819,2025-03-11 00:32:41,DELIVERED,NORTH,False
244,844,2026-02-15 18:49:20,DELIVERED,EAST,False
245,161,2026-04-11 06:17:14,DELIVERED,SOUTH,False
246,663,2024-08-26 07:23:21,RETURNED,NORTH,False
247,252,2026-05-31 11:03:12,DELIVERED,WEST,False
248,370,2025-02-24 21:24:18,DELIVERED,SOUTH,False
249,822,2025-11-07 23:15:15,DELIVERED,EAST,False
250,,2027-05-08 06:02:44,SHIPPED,EAST,True
251,412,2025-06-05 13:25:09,DELIVERED,SOUTH,False
252,925,2025-07-05 04:27:43,DELIVERED,EAST,False
253,430,2026-05-04 04:07:20,DELIVERED,EAST,False
254,9,2024-12-18 00:02:54,DELIVERED,SOUTH,False
255,909,2026-02-25 08:09:06,DELIVERED,WEST,False
256,795,2024-12-07 16:39:22,DELIVERED,SOUTH,False
257,533,2025-11-05 11:43:02,DELIVERED,SOUTH,False
258,,2025-04-08 08:53:38,DELIVERED,WEST,True
259,518,2026-04-04 00:00:00,DELIVERED,NORTH,False
260,775,2024-09-30 05:49:34,DELIVERED,SOUTH,False
261,825,2026-02-11 13:31:17,DELIVERED,CENTRAL,False
262,240,2026-04-05 20:07:17,DELIVERED,WEST,False
263,533,2025-04-18 20:07:15,DELIVERED,WEST,False
264,101,2026-07-05 14:45:35,DELIVERED,SOUTH,False
265,488,2025-11-26 00:00:00,DELIVERED,WEST,False
266,893,2024-11-17 15:43:44,CANCELLED,WEST,False
267,750,2024-08-27 22:06:09,DELIVERED,SOUTH,False
268,992,2025-04-03 12:27:03,DELIVERED,SOUTH,False
269,967,2025-06-28 22:17:16,SHIPPED,EAST,False
270,586,2026-06-08 02:55:11,DELIVERED,EAST,False
271,,2024-10-11 11:47:38,CANCELLED,EAST,True
272,5281,2025-07-29 06:53:15,DELIVERED,NORTH,False
273,428,2025-03-22 00:41:47,DELIVERED,CENTRAL,False
274,136,2025-05-30 16:04:29,DELIVERED,EAST,False
275,92,2024-11-03 07:09:14,DELIVERED,CENTRAL,False
276,47,2025-12-27 13:55:57,DELIVERED,NORTH,False
277,586,2025-01-12 17:45:55,DELIVERED,NORTH,False
278,198,2024-10-12 13:18:52,DELIVERED,WEST,False
279,515,2025-05-03 12:18:42,PLACED,SOUTH,False
280,252,2025-02-23 21:08:04,DELIVERED,EAST,False
281,412,2025-09-26 06:02:14,SHIPPED,NORTH,False
282,881,2024-11-20 18:29:05,DELIVERED,EAST,False
