order_id,customer_id,order_date,status,region_code
1,302.0,05-12-2025,DELIVERED,CENTRAL
2,267.0,2025-07-18 11:37:31,RETURNED,CENTRAL
3,28.0,2025-08-11 06:21:18,DELIVERED,SOUTH
4,631.0,2026-10-13 06:02:44,CANCELLED,SOUTH
5,675.0,2025-09-18 21:23:41,DELIVERED,CENTRAL
6,,2026-01-04 21:29:39,DELIVERED,WEST
7,771.0,2026-01-18 10:19:57,DELIVERED,SOUTH
8,592.0,2026-05-23 23:16:13,SHIPPED,SOUTH
9,476.0,2026-04-13 20:44:37,DELIVERED,WEST
10,700.0,2024-10-05 14:15:58,PLACED,WEST
11,392.0,2025-09-09 01:16:44,CANCELLED,EAST
12,980.0,2026-02-20 08:30:28,DELIVERED,NORTH
13,262.0,2026-03-04 13:10:49,DELIVERED,CENTRAL
14,789.0,2025-01-30 06:52:42,DELIVERED,NORTH
15,852.0,2024-12-17 19:49:37,DELIVERED,EAST
16,258.0,15-01-2026,DELIVERED,SOUTH
17,974.0,2025-12-10 09:12:56,DELIVERED,WEST
18,673.0,2024-07-22 11:04:59,SHIPPED,SOUTH
19,260.0,2024-11-17 18:48:38,RETURNED,WEST
20,709.0,2025-07-11 23:10:54,PLACED,NORTH
21,392.0,2024-09-26 12:48:55,SHIPPED,NORTH
22,504.0,2026-02-02 23:25:39,SHIPPED,CENTRAL
23,788.0,2025-05-18 23:53:20,DELIVERED,NORTH
24,75.0,2025-05-18 06:24:18,DELIVERED,NORTH
25,,2025-02-13 09:34:06,DELIVERED,NORTH
26,528.0,2025-05-28 13:43:37,DELIVERED,NORTH
27,554.0,2024-11-23 15:06:30,SHIPPED,CENTRAL
28,958.0,2024-11-30 22:24:05,RETURNED,NORTH
29,375.0,2024-10-23 21:34:14,DELIVERED,SOUTH
30,181.0,2025-07-08 03:06:22,DELIVERED,NORTH
31,646.0,2025-07-19 22:06:31,SHIPPED,NORTH
32,,2024-10-06 07:10:10,DELIVERED,EAST
33,512.0,2025-09-05 00:30:45,PLACED,NORTH
34,346.0,20-12-2024,DELIVERED,WEST
35,963.0,2024-12-11 13:19:26,CANCELLED,NORTH
36,754.0,2026-01-16 13:41:17,PLACED,SOUTH
37,15.0,28-02-2026,DELIVERED,SOUTH
38,856.0,2024-12-04 22:33:30,DELIVERED,SOUTH
39,65.0,2026-07-05 19:04:57,DELIVERED,EAST
40,124.0,2026-04-15 11:16:15,DELIVERED,NORTH
41,608.0,04-06-2025,SHIPPED,EAST
42,567.0,2026-05-15 16:18:07,DELIVERED,CENTRAL
43,5092.0,05-10-2024,CANCELLED,CENTRAL
44,909.0,2025-10-25 16:10:28,SHIPPED,SOUTH
45,656.0,2024-09-14 01:42:45,DELIVERED,CENTRAL
46,185.0,2024-09-18 09:06:02,DELIVERED,WEST
47,5.0,2024-10-16 20:22:59,DELIVERED,CENTRAL
48,520.0,2024-09-02 17:08:37,SHIPPED,SOUTH
49,702.0,2024-08-08 10:37:37,CANCELLED,NORTH
50,661.0,2025-01-05 06:34:41,DELIVERED,WEST
51,45.0,07-07-2025,PLACED,CENTRAL
52,119.0,2026-01-24 07:50:07,DELIVERED,EAST
53,236.0,2024-07-24 17:11:25,DELIVERED,WEST
54,913.0,2025-01-28 03:19:31,SHIPPED,CENTRAL
55,466.0,2026-06-15 12:52:27,DELIVERED,EAST
56,208.0,15-11-2025,SHIPPED,WEST
57,470.0,2026-02-14 06:31:36,SHIPPED,CENTRAL
